Title,Sample Code,Type,ID,Provider,Tags,License
Geomorpho90m First order derivatives: Slope,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-FIRST-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/slope,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m First order derivatives: spi,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-FIRST-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/spi,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Geomorphological forms: Geomorphon,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-GEOMORPHOLOGICAL-FORMS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/geom,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: dev-magnitude,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/dev-magnitude,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: dev-scale,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/dev-scale,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: elev-stdev,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/elev-stdev,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: rough-magnitude,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/rough-magnitude,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: roughness,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/roughness,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: rough-scale,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/rough-scale,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: tpi,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/tpi,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: tri,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/tri,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Ruggedeness: vrm,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-RUGGEDENESS,image_collection,projects/sat-io/open-datasets/Geomorpho90m/vrm,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Second order derivatives: dxx,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-SECOND-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/dxx,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Second order derivatives: dxy,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-SECOND-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/dxy,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Second order derivatives: dyy,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-SECOND-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/dyy,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Second order derivatives: pcurv,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-SECOND-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/pcurv,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
Geomorpho90m Second order derivatives: tcurv,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GEOMORPHO90-SECOND-ORDER-DERIVATIVE,image_collection,projects/sat-io/open-datasets/Geomorpho90m/tcurv,"Yale University, Coillte, Irish State Forestry Board, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, European Commission - Joint Research Centre, Spatial Ecology","Geomorpho90m, geomorphometric layers, MERIT DEM, topographic index, terrain ruggedness index, cti, global, topography, MERIT, SRTM, ALOS, DEM, terrain, shuttle, radar",Creative Commons Attribution 4.0 International
GFSAD Global Cropland Extent Product (GCEP),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/GCEP-30-CROPLAND-EXTENT,image_collection,projects/sat-io/open-datasets/GFSAD/GCEP30,U.S. Geological Survey Center for Earth Resources Observation and Science (EROS),"Landsat, Global Food, Cropland Extent, GEE, USGS, EROS",custom
GFSAD Landsat-Derived Global Rainfed and Irrigated-Cropland Product (LGRIP),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/LGRIP-30-CROPLAND-EXTENT,image_collection,projects/sat-io/open-datasets/GFSAD/LGRIP30,U.S. Geological Survey Center for Earth Resources Observation and Science (EROS),"Landsat, Global Food, Cropland Extent, GEE, USGS, EROS",custom
GIMMS Normalized Difference Vegetation Index 1982-2022 AVHRR MODIS CONSOLIDATED,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/GIMMS-NDVI-1982-2022,table,projects/sat-io/open-datasets/PKU-GIMMS-NDVI/AVHRR_MODIS_CONSOLIDATED,"Li, Muyi, Sen Cao, Zaichun Zhu, Zhe Wang, Ranga B. Myneni, and Shilong Piao","PKU GIMMS NDVI, Landsat, MODIS, Back Propagation Neural Network",Creative Commons Attribution 4.0 International
GIMMS Normalized Difference Vegetation Index 1982-2022 AVHRR SOLELY,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/GIMMS-NDVI-1982-2022,table,projects/sat-io/open-datasets/PKU-GIMMS-NDVI/AVHRR_SOLELY,"Li, Muyi, Sen Cao, Zaichun Zhu, Zhe Wang, Ranga B. Myneni, and Shilong Piao","PKU GIMMS NDVI, Landsat, MODIS, Back Propagation Neural Network",Creative Commons Attribution 4.0 International
Global 30m Height Above the Nearest Drainage with Number of River head threshold cells 100,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-HEIGHT-ABV-NEAREST-DRAINAGE,image_collection,users/gena/global-hand/hand-100,"Gennaddi Donchyts, Deltares","Global Hand, Hydrology, drainage, hand",Creative Commons Attribution Share Alike 4.0 International
Global 30m Height Above the Nearest Drainage with Number of River head threshold cells 1000,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-HEIGHT-ABV-NEAREST-DRAINAGE,image,users/gena/GlobalHAND/30m/hand-1000,"Gennaddi Donchyts, Deltares","Global Hand, Hydrology, drainage, hand",Creative Commons Attribution Share Alike 4.0 International
Global 30m Impervious-Surface Dynamic Dataset (GISD30),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/global-landuse-landcover/GLOBAL-IMPERVIOUS-30-GISD,image,projects/sat-io/open-datasets/GISD30_1985_2020,"Zhang, X., Liu, L., Zhao, T., Gao, Y., Chen, X., and Mi, J.","Landsat, Urban, Google Earth Engine, Impervious area, Urban expansion, global dataset",Creative Commons Attribution 4.0 International
Global 30m Landsat Tree Canopy Cover v4,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/GFCC30TC-TREE-CANOPY-COVER,image_collection,projects/sat-io/open-datasets/GFCC30TC,"Sexton, J. O et al","Global Tree Canopy, Forestry, Time series, Landsat",custom
Global 90m Height Above the Nearest Drainage with Number of River head threshold cells 1000,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-HEIGHT-ABV-NEAREST-DRAINAGE,image,users/gena/GlobalHAND/90m-global/hand-1000,"Gennaddi Donchyts, Deltares","Global Hand, Hydrology, drainage, hand",Creative Commons Attribution Share Alike 4.0 International
Global Aridity Index Monthly,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-ARIDITY-INDEX,image_collection,projects/sat-io/open-datasets/global_ai/global_ai_monthly,CGIAR Platform for Big Data in Agriculture,"aridity index, geospatial modeling",Creative Commons Attribution 4.0 International
Global Aridity Index Yearly,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-ARIDITY-INDEX,image,projects/sat-io/open-datasets/global_ai/global_ai_yearly,CGIAR Platform for Big Data in Agriculture,"aridity index, geospatial modeling",Creative Commons Attribution 4.0 International
Global Channel Belt Prediction,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-CHANNEL-BELT,image,projects/sat-io/open-datasets/GCB/GRMM,"Nyberg, Björn, et al 2023","Rivers, Hydrology, Morphology, Landforms, Ecosystems",Creative Commons Attribution 4.0 International
Global coastal rivers and environmental variables,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-COASTAL-RIVERS-ENV-VARIABLES,table,projects/sat-io/open-datasets/delta/global-costal-rivers-points,"Caldwell, R. L., Edmonds, D. A., Baumgardner, S., Paola, C., Roy, S., and Nienhuis, J. H.","Fluvial Geomorphology, Hydrology, Rivers, Coastal Rivers, Tidal, River Mouth",Creative Commons Attribution 4.0 International
Global crop production tillage practices,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/GLOBAL-CROP-PRODUCTION-TILLAGE-PRACTICES,table,projects/sat-io/open-datasets/global_tillage_production,Yang Su et al.,"Conservation agriculture, Conventional tillage, crop yield, No tillage, No-till",Creative Commons Attribution 4.0 International
Global Curve Number (GCN250) Average conditions,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-HYDROLOGIC-CURVE-NUMBER,image,users/jaafarhadi/GCN250/GCN250Average,"Hadi H. Jaafar, Farah A. Ahmad, Naji El Beyrouthy","Curve Number, Runoff, Hydrology",Creative Commons Attribution 4.0 International
Global Curve Number (GCN250) Dry conditions,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-HYDROLOGIC-CURVE-NUMBER,image,users/jaafarhadi/GCN250/GCN250Dry,"Hadi H. Jaafar, Farah A. Ahmad, Naji El Beyrouthy","Curve Number, Runoff, Hydrology",Creative Commons Attribution 4.0 International
Global Curve Number (GCN250) Wet conditions,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-HYDROLOGIC-CURVE-NUMBER,image,users/jaafarhadi/GCN250/GCN250Wet,"Hadi H. Jaafar, Farah A. Ahmad, Naji El Beyrouthy","Curve Number, Runoff, Hydrology",Creative Commons Attribution 4.0 International
Global Daily near-surface air temperature (2003-2020): Africa,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-DAILY-NEAR-SURFACE-AIR-TEMP,image_collection,projects/sat-io/open-datasets/global-daily-air-temp/africa,"Zhang, T., Zhou, Y., Zhao, K., Zhu, Z., Chen, G., Hu, J., and Wang, L.","Air Temperature, land surface temperature (LST), SVCM-SP, MODIS, Global",Creative Commons Attribution 4.0 International
Global Daily near-surface air temperature (2003-2020): Australia,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-DAILY-NEAR-SURFACE-AIR-TEMP,image_collection,projects/sat-io/open-datasets/global-daily-air-temp/australia,"Zhang, T., Zhou, Y., Zhao, K., Zhu, Z., Chen, G., Hu, J., and Wang, L.","Air Temperature, land surface temperature (LST), SVCM-SP, MODIS, Global",Creative Commons Attribution 4.0 International
Global Daily near-surface air temperature (2003-2020): Eurasia,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-DAILY-NEAR-SURFACE-AIR-TEMP,image_collection,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,"Zhang, T., Zhou, Y., Zhao, K., Zhu, Z., Chen, G., Hu, J., and Wang, L.","Air Temperature, land surface temperature (LST), SVCM-SP, MODIS, Global",Creative Commons Attribution 4.0 International
Global Daily near-surface air temperature (2003-2020): Latin America,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-DAILY-NEAR-SURFACE-AIR-TEMP,image_collection,projects/sat-io/open-datasets/global-daily-air-temp/latin_america,"Zhang, T., Zhou, Y., Zhao, K., Zhu, Z., Chen, G., Hu, J., and Wang, L.","Air Temperature, land surface temperature (LST), SVCM-SP, MODIS, Global",Creative Commons Attribution 4.0 International
Global Daily near-surface air temperature (2003-2020): North America,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-DAILY-NEAR-SURFACE-AIR-TEMP,image_collection,projects/sat-io/open-datasets/global-daily-air-temp/north_america,"Zhang, T., Zhou, Y., Zhao, K., Zhu, Z., Chen, G., Hu, J., and Wang, L.","Air Temperature, land surface temperature (LST), SVCM-SP, MODIS, Global",Creative Commons Attribution 4.0 International
Global Database of Cement Producer & Supplier 2023-10-04,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-CEMENT-SUPP-PROD-DB,table,projects/sat-io/open-datasets/SFI/global_cement_db_suppliers_20231004,"Tkachenko, N., Tang, K., McCarten, M. et al","Computer vision, Remote sensing, Computer and information sciences, asset-level data, Decarbonisation, LLMs, spatial finance, supply chains, sustainable finance, cement",Creative Commons Zero v1.0 Universal
Global Database of Cement Production Assets,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-CEMENT-PRODUCTION-ASSETS,table,projects/sat-io/open-datasets/SFI/global_cement_database_20210701,McCarten et al 2021,"GeoAsset Project, Oxford Sustainable Finance Programme, Satellite Applications Catapult, Alan Turing Institute, McCarten et al , cement , Global database",Creative Commons Attribution 4.0 International
Global Database of Cement Production Assets 2023-10-04,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-CEMENT-SUPP-PROD-DB,table,projects/sat-io/open-datasets/SFI/global_cement_db_assets_20231004,"Tkachenko, N., Tang, K., McCarten, M. et al","Computer vision, Remote sensing, Computer and information sciences, asset-level data, Decarbonisation, LLMs, spatial finance, supply chains, sustainable finance, cement",Creative Commons Zero v1.0 Universal
Global Database of Iron and Steel Production Assets,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-IRON-STEEL-PRODUCTION-ASSETS,table,projects/sat-io/open-datasets/SFI/global_steel_database_20210701,McCarten et al 2021,"GeoAsset Project, Oxford Sustainable Finance Programme, Satellite Applications Catapult, Alan Turing Institute, McCarten et al , Iron ,Steel, Global database",Creative Commons Attribution 4.0 International
Global Depositional Environment Classifications,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/GLOBAL-CHANNEL-BELT,image,projects/sat-io/open-datasets/GCB/Env,"Nyberg, Björn, et al 2023","Rivers, Hydrology, Morphology, Landforms, Ecosystems",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Humanitarian : adm1,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/HUMANITARIAN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-humanitarian/adm1_polygons,"FieldMaps, OCHA, geoBoundaries, U.S. Department of State, OpenStreetMap","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Humanitarian : adm2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/HUMANITARIAN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-humanitarian/adm2_polygons,"FieldMaps, OCHA, geoBoundaries, U.S. Department of State, OpenStreetMap","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Humanitarian : adm3,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/HUMANITARIAN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-humanitarian/adm3_polygons,"FieldMaps, OCHA, geoBoundaries, U.S. Department of State, OpenStreetMap","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Humanitarian : adm4,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/HUMANITARIAN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-humanitarian/adm4_polygons,"FieldMaps, OCHA, geoBoundaries, U.S. Department of State, OpenStreetMap","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Open : adm1,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/OPEN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-open/adm1_polygons,"FieldMaps, geoBoundaries, U.S. Department of State, U.S. Geological Survey","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Open : adm2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/OPEN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-open/adm2_polygons,"FieldMaps, geoBoundaries, U.S. Department of State, U.S. Geological Survey","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Open : adm3,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/OPEN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-open/adm3_polygons,"FieldMaps, geoBoundaries, U.S. Department of State, U.S. Geological Survey","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Edge-matched Subnational Boundaries Open : adm4,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/OPEN-EDGEMATCHED,table,projects/sat-io/open-datasets/field-maps/edge-matched-open/adm4_polygons,"FieldMaps, geoBoundaries, U.S. Department of State, U.S. Geological Survey","Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
Global Extreme Heat Hazard,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/GLOBAL-EXTREME-HEAT-HAZARD,image_collection,projects/sat-io/open-datasets/WORLD-BANK/global-ext-heat-hazard,"Koen De Ridder, Dirk Lauwaet, Hans Hooyberghs and Filip Lefebre from VITO (Author)","Hazard Assessment, Extreme Heat, Climatology, Climate Change",Creative Commons Attribution 4.0 International
Global Fertilizer Use by crop & country,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/GLOBAL-FERTILIZER-USE-CROP-COUNTRY,table,projects/sat-io/open-datasets/global_fertilizer_use_centroid,"Ludemann, Cameron; Gruere, Armelle; Heffer, Patrick; Dobermann, Achim","Global fertilizer use, agriculture, FAO, crop",Creative Commons Zero v1.0 Universal
Global Fire Atlas: Day of Burn,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/GLOBAL-FIRE-ATLAS,image_collection,projects/sat-io/open-datasets/global-fire-atlas/day_of_burn,Niels Andela,"Human Dimensions, Natural Hazards, Wild Fires, Burned Area, Biosphere, Ecological Dynamics, Fire Ecology, Fire Dynamics, Fire Occurrence",Creative Commons Attribution 4.0 International
Global Fire Atlas: Fire Direction,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/GLOBAL-FIRE-ATLAS,image_collection,projects/sat-io/open-datasets/global-fire-atlas/fire_direction,Niels Andela,"Human Dimensions, Natural Hazards, Wild Fires, Burned Area, Biosphere, Ecological Dynamics, Fire Ecology, Fire Dynamics, Fire Occurrence",Creative Commons Attribution 4.0 International
Global Fire Atlas: Fire Line,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/GLOBAL-FIRE-ATLAS,image_collection,projects/sat-io/open-datasets/global-fire-atlas/fire_line,Niels Andela,"Human Dimensions, Natural Hazards, Wild Fires, Burned Area, Biosphere, Ecological Dynamics, Fire Ecology, Fire Dynamics, Fire Occurrence",Creative Commons Attribution 4.0 International
Global Fire Atlas: Fire Speed,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/GLOBAL-FIRE-ATLAS,image_collection,projects/sat-io/open-datasets/global-fire-atlas/fire_speed,Niels Andela,"Human Dimensions, Natural Hazards, Wild Fires, Burned Area, Biosphere, Ecological Dynamics, Fire Ecology, Fire Dynamics, Fire Occurrence",Creative Commons Attribution 4.0 International
